Statistical profiling result from debub-v8.log, (15552 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      4    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:174:29
      4    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      4    0.0%    0.1%  Function: ^formatValue node:internal/util/inspect:745:21
      4    0.0%    0.1%  Function: ^<anonymous> :1:20
      3    0.0%    0.1%  RegExp: ^\[.*\]$
      3    0.0%    0.1%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      3    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      3    0.0%    0.1%  RegExp: ^(?:null(?=([~}\s)])))
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:"(\\["]|[^"])*")
      3    0.0%    0.1%  RegExp: \u001b\[\d\d?m
      3    0.0%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      3    0.0%    0.1%  LazyCompile: *toString node:buffer:783:46
      3    0.0%    0.1%  LazyCompile: *replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      3    0.0%    0.1%  LazyCompile: *relative node:path:1190:11
      3    0.0%    0.1%  LazyCompile: *reduceToSingleString node:internal/util/inspect:1902:30
      3    0.0%    0.1%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      3    0.0%    0.1%  LazyCompile: *push /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      3    0.0%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      3    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      3    0.0%    0.1%  LazyCompile: *__awaiter /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      3    0.0%    0.1%  LazyCompile: *Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      3    0.0%    0.1%  LazyCompile: *Module.load node:internal/modules/cjs/loader:969:33
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:331:47
      3    0.0%    0.1%  Function: ^session /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-session/index.js:179:26
      3    0.0%    0.1%  Function: ^getStatsFromBinding node:internal/fs/utils:530:29
      3    0.0%    0.1%  Function: ^deserializeObject /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/bson/lib/parser/deserializer.js:65:27
      3    0.0%    0.1%  Function: ^createError /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/http-errors/index.js:49:22
      3    0.0%    0.1%  Function: ^WhitespaceControl.Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      3    0.0%    0.1%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      3    0.0%    0.1%  Function: ^<anonymous> node:internal/fs/utils:357:35
      3    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/graceful-fs/graceful-fs.js:118:50
      3    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      2    0.0%    0.1%  RegExp: ^(?:undefined(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      2    0.0%    0.1%  RegExp: ^(?:\|)
      2    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      2    0.0%    0.1%  RegExp: ^(?:\.\.)
      2    0.0%    0.1%  RegExp: ^(?:-?[0-9]+(?:\.[0-9]+)?(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      2    0.0%    0.1%  RegExp: ^(?:$)
      2    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.1%  LazyCompile: *yy.locInfo /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:42:25
